femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,125,99125,Montgomery (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,5d167feaf8b82c70f7193662c31cb9c7cd45ea16,b3065393-57c4-4fb8-af77-72c3022268bb
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,127,99127,Moore (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,162a4960c5da0e3e705e475b84dc12f7249db24c,2982229b-5efa-4bf9-9380-149de8f50f99
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,129,99129,Morgan (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,fd763612f3edef43c776d4b6ac510f565d120820,d240f4a7-78e7-47c7-bb13-30e65ffd9a45
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,131,99131,Obion (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,3eae39f498ad4941911396b9bb620d1832587a11,f29ee18e-7870-4812-aaec-6a37083380d5
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,133,99133,Overton (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,864f9cc5c8b39c92fa2dc5094692956ea3bb2833,4a5c0c21-f659-4b3e-8070-48495ce2cde1
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,135,99135,Perry (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,216b3c7ddfe7ddc93236fd5c067c5dcc552a1613,abcce2db-f642-4e42-a49f-9e7701147cde
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,137,99137,Pickett (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,9cdd6bab3561421081e910be920abac793552725,500eb803-4c87-44c4-bd69-975390838bf3
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,139,99139,Polk (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,93cbc69dd1354747ce3fb415050dc7b9682d8ebb,10c617e2-1645-4428-9335-e6d0dab554e7
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,141,99141,Putnam (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,d9b053215cdd7bc6373ef89eadde8e614546f0f8,28c5136f-32e5-4fef-a56d-137c38d67164
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,143,99143,Rhea (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,9f080e5b01f03ade42969d11bac09df95a657a73,1b1992bc-d31c-4c47-91eb-89e17f20d88f
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,145,99145,Roane (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,ff8c3b3f29601740ed411694c312d70bcdb2b06d,7c4a1805-6578-4534-93e0-b358bf8eacfc
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,147,99147,Robertson (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,9653952125e387331817c29edadc8caef809ae5a,35fa796e-3b59-4740-8dfc-65e238b04f70
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,149,99149,Rutherford (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,f92ff4b163e09079df44ad0b14d6d4d2c83f923a,9474af1d-fe6c-4b78-8f96-7e0111a09558
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,151,99151,Scott (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,945aa921ca9db4e5905f19b100fec7d5e23d2e38,9a6a9fa6-1fe3-4a9e-b1a5-e0cf427b5e2c
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,153,99153,Sequatchie (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,29091ef3f98b1c9b6c65ad853720651dc5b4b18f,a0ab69dc-5fda-4024-a638-6f46ed87167f
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,155,99155,Sevier (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,e0fbb6efc24a53a1afb8c7cfa202f2ade2747f3a,fd2059c4-fa86-44b7-8f60-30a01bad6fbe
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,157,99157,Shelby (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,c3ebd1ad01a8c0dd401c0ddeef9355d12891202d,d8231150-3c90-45f8-8afb-3ec19637517d
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,159,99159,Smith (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,407a989ded0844dc4a4ede2cd7a1acc49add7951,46d876f9-d418-4aa2-ba96-d0ab55b58d88
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,161,99161,Stewart (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,178d59661a16df9f6bbf260b3413dc4e1d32c837,cbded9fa-21dd-4059-b069-4e653cfa90bd
EM-3625-TN,3625,TN,EM,2025-04-02T00:00:00.000Z,2025,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,0,2025-04-02T00:00:00.000Z,,,0,47,163,99163,Sullivan (County),25044,,2025040102,4,"2,W,F,T",2025-04-03T13:01:50.082Z,87b067de7d5dc9d6f1d3b6045052da1a4dd878e8,c764c72a-59d1-4f93-b759-b347b5f1a0c5
